Training Iterations; Lorentz , DerivLorentz , Sigmoid , Tanh , ReLU
6400.0;0.6845548479244036,0.1677065053902661,2.3225576800261148e-05
6500.0;0.6843691836443935,0.16764756250843008,2.2350586017323725e-05
6600.0;0.6841894718920931,0.1675894409726037,2.1523701911237887e-05
6700.0;0.6840152845747829,0.167532117357658,2.0741466197666368e-05
6800.0;0.6838462309284064,0.1674755692828983,2.00007248782068e-05
6900.0;0.6836819534390993,0.16741977534988384,1.9298596777870743e-05
7000.0;0.6835221242906313,0.1673647150847787,1.8632445802417487e-05
7100.0;0.6833664422597738,0.1673103688848538,1.7999856422442934e-05
7200.0;0.6832146299945874,0.16725671796879327,1.7398611963340844e-05
7300.0;0.6830664316212312,0.16720374433049182,1.6826675340915424e-05
7400.0;0.6829216106335811,0.16715143069605948,1.628217193353463e-05
7500.0;0.6827799480271072,0.1670997604837754,1.5763374324898265e-05
7600.0;0.6826412406443743,0.16704871776675523,1.5268688688096602e-05
7700.0;0.6825052997044516,0.1669982872381199,1.4796642612728487e-05
7800.0;0.682371949492601,0.16694845417846915,1.4345874203311473e-05
7900.0;0.6822410261900476,0.16689920442548403,1.3915122299852647e-05
8000.0;0.682112376826508,0.16685052434549502,1.3503217690802099e-05
8100.0;0.6819858583405745,0.16680240080686798,1.3109075205207382e-05
8200.0;0.6818613367350962,0.16675482115507137,1.2731686585198816e-05
8300.0;0.681738686316441,0.16670777318930224,1.2370114052218757e-05
8400.0;0.6816177890079873,0.16666124514055533,1.2023484491071736e-05
8500.0;0.6814985337294658,0.16661522565103193,1.1690984185051962e-05
8600.0;0.6813808158348342,0.1665697037547916,1.1371854043406721e-05
8700.0;0.6812645366023045,0.16652466885955997,1.1065385269330753e-05
8800.0;0.6811496027709258,0.16648011072961003,1.0770915422704662e-05
8900.0;0.6810359261188215,0.16643601946964295,1.0487824837112403e-05
9000.0;0.6809234230787597,0.16639238550959987,1.0215533355203684e-05
9100.0;0.680812014387265,0.16634919959034106,9.953497350584955e-06
9200.0;0.6807016247639088,0.16630645275013287,9.701207007871117e-06
9300.0;0.6805921826178184,0.1662641363118911,9.458183835710575e-06
9400.0;0.6804836197787786,0.16622224187112744,9.223978390277845e-06
9500.0;0.680375871250595,0.16618076128455592,8.998168189169061e-06
9600.0;0.6802688749846529,0.1661396866593144,8.78035579772548e-06
9700.0;0.6801625716718358,0.16609901034276273,8.570167071737634e-06
9800.0;0.6800569045511606,0.16605872491282048,8.36724954209807e-06
9900.0;0.6799518192336805,0.16601882316881064,8.17127092847072e-06
10000.0;0.6798472635403475,0.16597929812277684,7.981917770356149e-06
10100.0;0.6797431873526837,0.16594014299124613,7.798894165079767e-06
10200.0;0.6796395424752175,0.16590135118740862,7.621920603274695e-06
10300.0;0.6795362825087711,0.16586291631368988,7.450732893366251e-06
10400.0;0.6794333627337675,0.16582483215469193,7.28508116736058e-06
10500.0;0.679330740002828,0.16578709267048092,7.124728961005651e-06
10600.0;0.6792283726420009,0.16574969199020112,6.969452362038997e-06
10700.0;0.6791262203600437,0.16571262440599632,6.819039220815423e-06
10800.0;0.6790242441652353,0.1656758843672212,6.673288418171306e-06
10900.0;0.678922406289265,0.16563946647492456,6.532009185810835e-06
11000.0;0.678820670117787,0.165603365476591,6.395020474969946e-06
11100.0;0.6787190001272876,0.1655675762611254,6.262150369477022e-06
